64.32,LOW,90.6,HIGH,152.95,LOW,129.0,HIGH,432.82,LOW,212.46,LOW
65.21,LOW,79.9,LOW,156.72,HIGH,149.12,HIGH,427.49,HIGH,211.5,MEDIUM
63.91,LOW,79.44,MEDIUM,185.35,HIGH,174.65,LOW,363.57,LOW,221.67,HIGH
64.6,LOW,74.08,LOW,159.14,LOW,177.33,LOW,367.41,MEDIUM,195.89,LOW
66.67,LOW,72.27,LOW,158.99,LOW,173.76,LOW,387.49,LOW,188.6,LOW
65.22,LOW,72.14,LOW,163.16,LOW,175.95,LOW,392.99,LOW,196.86,HIGH
65.65,LOW,71.97,LOW,164.08,LOW,174.42,LOW,386.41,LOW,205.13,LOW
67.16,LOW,70.98,LOW,161.85,LOW,174.27,LOW,387.92,LOW,208.61,LOW
69.09,LOW,71.91,LOW,157.4,LOW,179.22,LOW,392.77,HIGH,203.2,LOW
70.28,MEDIUM,72.01,LOW,159.85,LOW,180.39,LOW,376.55,HIGH,205.07,MEDIUM
67.06,LOW,72.22,LOW,155.12,LOW,183.3,HIGH,425.14,LOW,194.3,LOW
68.45,HIGH,72.19,MEDIUM,155.89,HIGH,165.76,LOW,421.92,HIGH,189.04,HIGH
67.5,HIGH,73.59,LOW,169.92,HIGH,162.88,HIGH,352.12,LOW,163.3,HIGH
76.42,LOW,72.44,LOW,186.83,HIGH,160.26,LOW,354.65,MEDIUM,170.41,LOW
75.67,LOW,72.98,HIGH,220.39,LOW,156.14,LOW,383.23,LOW,174.59,LOW
74.96,LOW,65.68,HIGH,224.09,LOW,159.73,HIGH,396.21,HIGH,169.25,LOW
77.47,LOW,55.24,MEDIUM,220.83,LOW,147.22,HIGH,398.51,LOW,164.77,LOW
75.99,LOW,58.97,MEDIUM,226.71,LOW,160.6,HIGH,407.84,LOW,169.32,HIGH
76.96,LOW,52.94,LOW,229.53,MEDIUM,179.03,LOW,395.66,LOW,171.26,LOW
79.53,MEDIUM,53.96,LOW,227.56,LOW,180.76,LOW,405.53,LOW,174.71,LOW
81.01,LOW,53.49,LOW,224.07,LOW,182.51,HIGH,412.73,HIGH,175.63,LOW
81.58,HIGH,54.23,MEDIUM,217.48,MEDIUM,209.22,LOW,410.42,HIGH,181.63,LOW
85.8,HIGH,57.08,MEDIUM,225.95,HIGH,209.03,LOW,449.39,HIGH,179.59,LOW
83.37,HIGH,59.69,LOW,253.15,LOW,213.42,LOW,472.11,LOW,184.6,HIGH
88.16,LOW,60.41,LOW,249.79,HIGH,213.75,LOW,473.88,LOW,192.52,HIGH
89.49,LOW,60.78,LOW,270.66,HIGH,220.03,LOW,472.49,LOW,185.91,LOW
90.38,LOW,58.6,MEDIUM,243.91,LOW,224.06,LOW,469.99,LOW,185.02,LOW
92.7,LOW,60.07,MEDIUM,242.44,LOW,230.42,LOW,462.62,LOW,188.77,LOW
92.47,LOW,54.48,LOW,245.28,LOW,234.8,LOW,471.39,LOW,189.36,LOW
91.87,LOW,53.73,LOW,250.21,HIGH,233.69,LOW,466.01,LOW,183.83,LOW
90.74,LOW,54.82,LOW,254.21,LOW,240.66,LOW,474.57,HIGH,179.24,LOW
88.16,LOW,53.61,LOW,255.29,LOW,246.75,HIGH,533.14,LOW,179.09,MEDIUM
88.32,LOW,53.13,HIGH,251.51,LOW,243.85,LOW,552.1,LOW,185.03,LOW
88.85,LOW,47.04,HIGH,254.13,MEDIUM,245.55,HIGH,554.98,LOW,190.33,LOW
87.77,MEDIUM,56.43,HIGH,235.83,HIGH,239.61,LOW,564.83,LOW,186.84,LOW
88.13,MEDIUM,53.57,LOW,232.71,LOW,236.76,LOW,568.59,LOW,185.75,LOW
82.77,HIGH,54.67,LOW,234.37,LOW,231.16,HIGH,578.11,LOW,189.44,LOW
71.73,LOW,55.96,MEDIUM,233.74,LOW,220.0,LOW,564.5,LOW,186.84,MEDIUM
69.24,HIGH,53.43,MEDIUM,239.28,HIGH,219.06,LOW,549.95,LOW,169.82,LOW
81.53,MEDIUM,51.21,MEDIUM,255.54,LOW,224.46,LOW,552.56,LOW,171.13,LOW
77.53,LOW,48.29,MEDIUM,261.91,LOW,217.28,LOW,549.24,MEDIUM,167.46,LOW
74.82,LOW,51.12,LOW,259.19,MEDIUM,224.36,LOW,535.12,LOW,163.96,HIGH
77.16,HIGH,49.22,LOW,260.29,LOW,229.54,LOW,516.25,LOW,180.54,HIGH
92.48,LOW,49.99,LOW,267.85,LOW,232.75,LOW,505.74,HIGH,170.46,HIGH
93.11,HIGH,48.83,MEDIUM,271.52,LOW,234.28,HIGH,453.39,LOW,152.95,MEDIUM
108.89,LOW,45.58,MEDIUM,267.62,MEDIUM,197.05,LOW,452.87,LOW,165.49,HIGH
106.45,MEDIUM,41.33,MEDIUM,291.85,LOW,198.73,LOW,467.89,HIGH,150.35,LOW
105.82,LOW,38.4,LOW,287.55,HIGH,200.16,LOW,422.33,LOW,148.76,LOW
107.15,LOW,38.22,LOW,263.71,HIGH,202.3,LOW,424.27,HIGH,147.65,LOW
110.84,LOW,38.55,LOW,264.54,LOW,202.42,MEDIUM,356.3,LOW,149.93,MEDIUM
114.58,LOW,39.69,MEDIUM,265.31,HIGH,189.64,LOW,363.0,LOW,163.8,HIGH
115.25,LOW,37.42,MEDIUM,222.03,HIGH,193.52,LOW,358.47,HIGH,162.83,HIGH
117.18,LOW,38.22,MEDIUM,227.49,LOW,190.24,HIGH,422.03,LOW,165.85,LOW
120.83,LOW,34.96,HIGH,233.59,HIGH,157.02,LOW,431.36,LOW,166.23,LOW
119.96,LOW,28.53,MEDIUM,210.96,LOW,154.82,LOW,434.8,MEDIUM,170.31,LOW
117.32,LOW,28.13,LOW,207.73,LOW,156.11,LOW,412.03,LOW,170.81,LOW
120.24,MEDIUM,27.67,LOW,205.4,HIGH,152.0,MEDIUM,424.39,LOW,169.63,HIGH
114.11,LOW,27.05,LOW,211.95,HIGH,152.71,MEDIUM,415.92,HIGH,194.27,HIGH
116.4,LOW,26.49,LOW,170.25,HIGH,147.96,LOW,452.48,LOW,193.03,LOW
113.48,LOW,26.04,MEDIUM,141.97,HIGH,149.41,LOW,442.61,LOW,197.68,LOW
116.24,LOW,25.48,MEDIUM,161.77,LOW,146.15,LOW,451.89,LOW,197.99,LOW
114.81,HIGH,26.41,MEDIUM,162.95,LOW,146.03,HIGH,443.48,LOW,195.54,LOW
95.79,MEDIUM,28.74,LOW,165.24,LOW,156.2,MEDIUM,448.72,LOW,197.43,LOW
92.45,HIGH,28.64,MEDIUM,162.09,LOW,169.99,LOW,457.81,LOW,191.95,HIGH
104.09,LOW,26.33,MEDIUM,164.55,LOW,168.01,MEDIUM,450.96,LOW,177.85,MEDIUM
104.08,MEDIUM,26.58,MEDIUM,159.32,MEDIUM,164.53,LOW,456.03,HIGH,167.48,LOW
100.54,LOW,25.61,MEDIUM,158.87,HIGH,170.6,LOW,513.23,LOW,163.11,LOW
97.71,MEDIUM,24.11,MEDIUM,160.22,HIGH,170.29,HIGH,515.28,LOW,167.06,HIGH
91.67,LOW,22.97,MEDIUM,163.33,LOW,155.02,LOW,510.16,LOW,197.23,HIGH
88.99,LOW,20.79,MEDIUM,158.97,HIGH,158.19,LOW,494.65,LOW,212.35,HIGH
88.68,LOW,22.27,MEDIUM,171.76,MEDIUM,161.5,MEDIUM,505.49,LOW,192.72,LOW
87.11,LOW,23.43,LOW,163.06,LOW,154.54,HIGH,496.4,MEDIUM,193.34,LOW
86.42,LOW,23.46,LOW,161.54,LOW,148.65,HIGH,505.22,HIGH,197.42,HIGH
87.18,HIGH,23.58,LOW,164.6,LOW,144.23,HIGH,573.62,LOW,163.06,LOW
89.09,HIGH,24.1,MEDIUM,158.65,LOW,142.78,LOW,569.2,LOW,164.21,LOW
91.73,HIGH,23.92,MEDIUM,157.48,MEDIUM,146.38,LOW,575.91,HIGH,161.52,LOW
97.5,MEDIUM,24.29,MEDIUM,156.94,LOW,143.73,LOW,511.95,LOW,164.91,LOW
89.35,LOW,24.62,LOW,153.0,LOW,144.37,HIGH,516.91,LOW,162.6,HIGH
87.73,LOW,24.63,LOW,151.12,LOW,154.66,LOW,517.68,LOW,177.33,HIGH
89.87,LOW,24.4,LOW,151.28,HIGH,154.55,LOW,520.38,LOW,191.63,HIGH
88.67,HIGH,24.98,LOW,138.35,LOW,150.06,HIGH,511.13,LOW,196.36,HIGH
85.73,HIGH,24.74,LOW,139.0,LOW,146.22,LOW,510.57,LOW,235.53,HIGH
79.06,LOW,25.24,LOW,139.24,HIGH,146.8,LOW,504.05,LOW,190.36,LOW
76.53,LOW,24.69,LOW,141.87,HIGH,150.68,LOW,491.02,LOW,190.34,MEDIUM
75.61,MEDIUM,24.86,MEDIUM,121.93,HIGH,153.83,LOW,499.05,HIGH,187.42,LOW
78.15,LOW,22.47,LOW,100.17,LOW,158.76,HIGH,580.5,LOW,185.51,LOW
78.17,LOW,22.56,LOW,97.87,HIGH,170.4,LOW,588.71,LOW,181.92,LOW
79.58,LOW,22.91,LOW,110.44,MEDIUM,166.6,HIGH,587.09,HIGH,181.39,MEDIUM
80.84,MEDIUM,22.33,LOW,109.05,LOW,161.0,LOW,476.56,LOW,174.71,LOW
75.13,MEDIUM,22.64,LOW,110.75,LOW,162.41,LOW,465.36,HIGH,176.02,LOW
73.07,LOW,22.62,LOW,114.69,LOW,164.69,LOW,513.92,LOW,176.95,LOW
73.64,MEDIUM,22.2,LOW,114.52,MEDIUM,165.16,LOW,503.05,LOW,183.21,HIGH
75.02,LOW,21.7,MEDIUM,108.65,HIGH,168.08,HIGH,520.46,LOW,206.81,MEDIUM
